boarding_id;flights_id;boarding_no ;seat_no 
5435212351;30625;1;2D
5435212386;30625;2;3G
5435212381;30625;3;4H
5432211370;30625;4;5D
5435212357;30625;5;11A
5435212360;30625;6;11E
5435212393;30625;7;11H
5435212374;30625;8;12E
5435212365;30625;9;13D
5435212378;30625;10;14H
5435212362;30625;11;15E
5435212334;30625;12;15F
5435212370;30625;13;15K
5435212329;30625;14;15H
5435725513;30625;15;16D
5435212328;30625;16;16C
5435630915;30625;17;16E
5435212388;30625;18;17E
5432159775;30625;19;17D
5435212382;30625;20;17H
5432211367;30625;21;19K
5435212354;30625;22;20B
5432211372;30625;23;20F
5432159776;30625;24;2A
5435212344;30625;25;20K
5435212372;30625;26;22B
5435212355;30625;27;22H
5435212376;30625;28;23F
5435725512;30625;29;25D
5435212385;30625;30;25C
5435212336;30625;31;26D
5435212367;30625;32;26J
5435212359;30625;33;27B
5435212364;30625;34;27H
5435725514;30625;35;27K
5435212338;30625;36;28C
5435212391;30625;37;28B
5435212366;30625;38;28G
5435212347;30625;39;28J
5432211366;30625;40;28K
5433656614;30625;41;29D
5435212383;30625;42;29C
5435212373;30625;43;29B
5435212395;30625;44;29J
5435212343;30625;45;30E
5435212371;30625;46;30J
5435212377;30625;47;31J
5435212358;30625;48;32C
5435212330;30625;49;32B
5432211371;30625;50;32F
5435212368;30625;51;32K
5435212340;30625;52;33D
5435212335;30625;53;33C
5435212363;30625;54;33H
5435212380;30625;55;35A
5435212345;30625;56;35C
5435212375;30625;57;35B
5432211365;30625;58;35F
5435212350;30625;59;35E
5435212331;30625;60;35G
5435212353;30625;61;36G
5435630916;30625;62;36J
5435212337;30625;63;37B
5432211368;30625;64;37E
5432211369;30625;65;37F
5435212356;30625;66;37H
5435212332;30625;67;38A
5435212348;30625;68;38K
5435212352;30625;69;39E
5435212394;30625;70;40G
5435212389;30625;71;40J
5435212369;30625;72;42A
5435212392;30625;73;41K
5435212379;30625;74;42C
5435725516;30625;75;42E
5435212396;30625;76;42K
5432159777;30625;77;43A
5433656613;30625;78;43G
5435725515;30625;79;43H
5435212346;30625;80;43K
5435212390;30625;81;45D
5435212361;30625;82;45E
5435212341;30625;83;45K
5435725511;30625;84;46C
5435212349;30625;85;46B
5432159778;30625;86;46K
5435212384;30625;87;47E
5435630914;30625;88;49E
5435212339;30625;89;49G
5435212333;30625;90;50C
5435212387;30625;91;50H
5435212342;30625;92;51D
5433367244;24836;1;1D
5433367229;24836;2;1F
5433367230;24836;3;2C
5433367245;24836;4;2D
5433367256;24836;5;3D
5433367225;24836;6;3F
5433367228;24836;7;4A
5433367236;24836;8;4C
5433367252;24836;9;4E
5433367243;24836;10;5A
5433367222;24836;11;5C
5433367234;24836;12;5D
5433367231;24836;13;5F
5433367218;24836;14;6C
5433367224;24836;15;6E
5433367237;24836;16;7A
5433367255;24836;17;7D
5433367246;24836;18;7E
5433367227;24836;19;8A
5433367233;24836;20;8F
5433367242;24836;21;9A
5433367248;24836;22;9F
5433367223;24836;23;10C
5433367241;24836;24;10E
5433367221;24836;25;10F
5433367258;24836;26;11A
5433367240;24836;27;13E
5433367226;24836;28;13F
5433367247;24836;29;14A
5433367235;24836;30;14F
5433367257;24836;31;15F
5433367251;24836;32;16A
5433367239;24836;33;16C
5433367220;24836;34;16D
5433367250;24836;35;16E
5433367219;24836;36;17C
5433367253;24836;37;17D
5433367232;24836;38;18A
5433367249;24836;39;18E
5433367238;24836;40;19D
5433367254;24836;41;19E
5434979262;2055;1;1C
5434979271;2055;2;1D
5434979277;2055;3;2B
5434979252;2055;4;2C
5434979282;2055;5;2D
5434979273;2055;6;3B
5434979280;2055;7;3C
5434979255;2055;8;4A
5434979269;2055;9;4B
5434979275;2055;10;4C
5435801642;2055;11;4D
5434979279;2055;12;5A
5434979267;2055;13;5B
5434979254;2055;14;5D
5434979264;2055;15;6A
5434979263;2055;16;6C
5434979276;2055;17;7B
5434979270;2055;18;18A
5434979258;2055;19;18B
5434979256;2055;20;18C
5434979265;2055;21;18D
5434979261;2055;22;19A
5434979253;2055;23;19B
5434979259;2055;24;19D
5435801643;2055;25;20A
5434979272;2055;26;20B
5434979260;2055;27;20C
5434979274;2055;28;20D
5434979268;2055;29;21C
5434979257;2055;30;21D
5434979278;2055;31;22A
5434979266;2055;32;22B
5435801644;2055;33;22D
5434979281;2055;34;23B
5434952466;2575;1;1B
5434952464;2575;2;4A
5434952467;2575;3;5A
5434952465;2575;4;4B
5433256382;28205;1;1B
5433256381;28205;2;5A
5433111467;19732;1;1A
5433111468;19732;2;3B
5433112350;19732;3;4B
5433111469;19732;4;6A
5434190367;19092;1;1C
5434190368;19092;2;7A
5433534460;6786;1;1B
5433534461;6786;2;2A
5433534463;6786;3;2D
5433538721;6786;4;3A
5433538717;6786;5;4B
5433538718;6786;6;4C
5433534462;6786;7;5C
5433538720;6786;8;21A
5433538719;6786;9;21B
5433538722;6786;10;21D
5433538723;6786;11;22A
5433538724;6786;12;23B
5435259680;25029;1;3D
5435259678;25029;2;4C
5435259681;25029;3;18A
5435259679;25029;4;19D
5433511804;823;1;1D
5433511803;823;2;4B
5433511809;823;3;5D
5433511807;823;4;6A
5433511802;823;5;7B
5433511801;823;6;19B
5433511808;823;7;20B
5433511806;823;8;21B
5433511805;823;9;22B
5432922454;16157;1;1C
5432922455;16157;2;2D
5432922453;16157;3;5A
5433475633;4021;1;1D
5433475632;4021;2;2D
5433475631;4021;3;18D
5433475630;4021;4;21A
5435696849;3660;1;1B
5435696846;3660;2;1D
5434950451;3660;3;2A
5435696864;3660;4;2B
5435696862;3660;5;2D
5435696847;3660;6;3A
5435696850;3660;7;3D
5435696866;3660;8;4A
5435696843;3660;9;4C
5435696863;3660;10;5A
5435696851;3660;11;5B
5434950450;3660;12;5D
5435696870;3660;13;6B
5434950452;3660;14;6D
5435696859;3660;15;7A
5435696871;3660;16;7B
5435696855;3660;17;7D
5435696869;3660;18;18A
5435696852;3660;19;18C
5435696857;3660;20;18D
5435696853;3660;21;19A
5435696845;3660;22;19B
5435696844;3660;23;19C
5435696856;3660;24;20B
5435696858;3660;25;20C
5435696865;3660;26;20D
5435696848;3660;27;21C
5435696861;3660;28;22A
5435696860;3660;29;22B
5435696854;3660;30;22D
5435696868;3660;31;23B
5435696867;3660;32;23A
5435916119;16272;1;6A
5435916118;16272;2;7B
5432609659;3993;1;1A
5432609661;3993;2;1B
5432607495;3993;3;1C
5434606760;3993;4;1D
5432609658;3993;5;2D
5434606759;3993;6;4A
5434606763;3993;7;4D
5433519378;3993;8;5B
5432607494;3993;9;6B
5433519379;3993;10;6D
5434604838;3993;11;7A
5434606761;3993;12;18B
5433519377;3993;13;19B
5432609660;3993;14;19C
5434604839;3993;15;19D
5434606762;3993;16;20B
5433519380;3993;17;20C
5432607496;3993;18;21B
5434604837;3993;19;21C
5435853578;22080;1;1D
5435853580;22080;2;18C
5435853579;22080;3;22C
5435628670;728;1;1A
5435628672;728;2;2A
5435628669;728;3;4B
5435628671;728;4;6A
5433348889;15900;1;1A
5433348891;15900;2;2A
5433348887;15900;3;3B
5433348888;15900;4;5B
5433348890;15900;5;6B
5433159275;17677;1;4A
5433159274;17677;2;6A
5433159276;17677;3;6B
5435132700;7862;1;2B
5435132696;7862;2;2D
5435132694;7862;3;3D
5435132695;7862;4;4B
5435132698;7862;5;5A
5435132697;7862;6;6A
5435132699;7862;7;7D
5435132703;7862;8;19B
5435132704;7862;9;20A
5435132702;7862;10;21C
5435132701;7862;11;23A
5435383058;33092;1;1A
5435383057;33092;2;5C
5435383056;33092;3;6B
5435383059;33092;4;18B
5435383055;33092;5;22B
5435160112;7477;1;4C
5435160111;7477;2;6A
5435160104;7477;3;7C
5435160106;7477;4;7B
5435160109;7477;5;18B
5435160103;7477;6;18D
5435160105;7477;7;20A
5435160110;7477;8;21B
5435160113;7477;9;21C
5435160107;7477;10;21D
5435160108;7477;11;23B
5435390116;29573;1;1A
5435390120;29573;2;4A
5435390121;29573;3;4B
5435390122;29573;4;5C
5435390118;29573;5;7C
5435390117;29573;6;21A
5435390119;29573;7;21D
5434503467;6547;1;2C
5434503492;6547;2;2F
5434503487;6547;3;4A
5434503465;6547;4;4C
5434503495;6547;5;4F
5434503472;6547;6;5A
5434503463;6547;7;5D
5434503469;6547;8;5E
5434503460;6547;9;5F
5434503488;6547;10;6C
5434503484;6547;11;6D
5434503490;6547;12;6E
5434503468;6547;13;6F
5434503482;6547;14;7A
5435103797;6547;15;7D
5435103796;6547;16;7E
5434503479;6547;17;8A
5435103802;6547;18;8C
5434503471;6547;19;8D
5434503494;6547;20;8E
5434503483;6547;21;8F
5434503474;6547;22;9C
5434503464;6547;23;9D
5434503476;6547;24;9E
5435103803;6547;25;10A
5434503462;6547;26;10C
5434503459;6547;27;10E
5435103799;6547;28;10F
5434503458;6547;29;11C
5434503466;6547;30;11F
5434503478;6547;31;12A
5434503470;6547;32;12C
5434503486;6547;33;13C
5434503489;6547;34;13F
5434503491;6547;35;14A
5435103793;6547;36;14D
5435103795;6547;37;14E
5434503485;6547;38;14F
5434503477;6547;39;15C
5434503461;6547;40;15E
5434503473;6547;41;15F
5434503496;6547;42;16D
5435103794;6547;43;16E
5434503475;6547;44;17E
5434503493;6547;45;17F
5435103801;6547;46;18D
5435103798;6547;47;19A
5435103800;6547;48;20A
5434503481;6547;49;20C
5434503480;6547;50;20E
5435652274;1654;1;1A
5435652282;1654;2;1D
5435652261;1654;3;2C
5435652269;1654;4;2F
5435652292;1654;5;3C
5435652275;1654;6;4A
5435652281;1654;7;4C
5435652283;1654;8;5D
