_id;departure_airports_data;arrival_airports_data;aircrafts_id;flight_no ;scheduled_departure;scheduled_arrival;status;actual_departure;actual_arrival
1185;DME;BTK;319;PG0134;2017-09-10 13:50:00+07;2017-09-10 18:55:00+07;Scheduled;;
3979;VKO;HMA;CR2;PG0052;2017-08-25 18:50:00+07;2017-08-25 21:35:00+07;Scheduled;;
4739;VKO;AER;763;PG0561;2017-09-05 16:30:00+07;2017-09-05 18:15:00+07;Scheduled;;
5502;SVO;UFA;763;PG0529;2017-09-12 13:50:00+07;2017-09-12 15:20:00+07;Scheduled;;
6938;SVO;ULV;SU9;PG0461;2017-09-04 16:25:00+07;2017-09-04 17:20:00+07;Scheduled;;
7784;SVO;KRO;CR2;PG0667;2017-09-10 19:00:00+07;2017-09-10 21:30:00+07;Scheduled;;
9478;LED;REN;CR2;PG0360;2017-08-28 13:00:00+07;2017-08-28 15:35:00+07;Scheduled;;
11085;SVX;SCW;733;PG0569;2017-08-24 19:05:00+07;2017-08-24 20:10:00+07;Scheduled;;
11847;KZN;IKT;319;PG0498;2017-09-12 14:15:00+07;2017-09-12 18:55:00+07;Scheduled;;
12012;KZN;MQF;CR2;PG0621;2017-08-26 20:05:00+07;2017-08-26 21:00:00+07;Scheduled;;
13113;ROV;KZN;CN1;PG0612;2017-08-18 20:25:00+07;2017-08-19 00:05:00+07;Scheduled;;
14806;PEE;CEK;CR2;PG0676;2017-09-06 11:05:00+07;2017-09-06 11:45:00+07;Scheduled;;
16837;JOK;VKO;CN1;PG0010;2017-09-05 16:25:00+07;2017-09-05 18:35:00+07;Scheduled;;
17173;SCW;NBC;CN1;PG0059;2017-09-14 16:25:00+07;2017-09-14 18:45:00+07;Cancelled;;
19807;MJZ;CNN;CN1;PG0035;2017-09-11 10:35:00+07;2017-09-11 13:25:00+07;Scheduled;;
23609;UUA;SVO;CR2;PG0648;2017-08-31 15:35:00+07;2017-08-31 17:00:00+07;Scheduled;;
23695;UUA;REN;CR2;PG0388;2017-08-26 14:55:00+07;2017-08-26 15:25:00+07;Scheduled;;
23780;SWT;CEK;CN1;PG0098;2017-09-02 10:50:00+07;2017-09-02 14:30:00+07;Scheduled;;
23945;EYK;DME;CR2;PG0076;2017-09-05 13:15:00+07;2017-09-05 15:50:00+07;Scheduled;;
24705;TJM;PES;CR2;PG0632;2017-08-26 19:00:00+07;2017-08-26 21:35:00+07;Scheduled;;
25382;IKT;MJZ;CR2;PG0556;2017-08-31 13:05:00+07;2017-08-31 14:55:00+07;Scheduled;;
26057;ULY;RTW;CN1;PG0467;2017-08-26 19:45:00+07;2017-08-26 21:00:00+07;Scheduled;;
27580;KEJ;DME;SU9;PG0483;2017-09-12 11:20:00+07;2017-09-12 15:20:00+07;Scheduled;;
29272;KGD;ESL;CR2;PG0334;2017-09-05 20:20:00+07;2017-09-05 23:05:00+07;Scheduled;;
29440;UUD;VKO;319;PG0065;2017-09-02 16:15:00+07;2017-09-02 22:05:00+07;Scheduled;;
32658;KRO;KJA;CR2;PG0674;2017-08-19 13:35:00+07;2017-08-19 16:00:00+07;Scheduled;;
1;DME;LED;321;PG0405;2017-07-16 13:35:00+07;2017-07-16 14:30:00+07;Arrived;2017-07-16 13:44:00+07;2017-07-16 14:39:00+07
2;DME;LED;321;PG0404;2017-08-05 23:05:00+07;2017-08-06 00:00:00+07;Arrived;2017-08-05 23:06:00+07;2017-08-06 00:01:00+07
3;DME;LED;321;PG0405;2017-08-05 13:35:00+07;2017-08-05 14:30:00+07;Arrived;2017-08-05 13:39:00+07;2017-08-05 14:34:00+07
4;DME;LED;321;PG0402;2017-09-09 16:25:00+07;2017-09-09 17:20:00+07;Scheduled;;
5;DME;LED;321;PG0405;2017-08-16 13:35:00+07;2017-08-16 14:30:00+07;On Time;;
6;DME;LED;321;PG0404;2017-08-16 23:05:00+07;2017-08-17 00:00:00+07;Scheduled;;
7;DME;LED;321;PG0403;2017-08-16 15:25:00+07;2017-08-16 16:20:00+07;Delayed;;
8;DME;LED;321;PG0402;2017-08-16 16:25:00+07;2017-08-16 17:20:00+07;On Time;;
9;DME;LED;321;PG0405;2017-08-25 13:35:00+07;2017-08-25 14:30:00+07;Scheduled;;
10;DME;LED;321;PG0402;2017-08-23 16:25:00+07;2017-08-23 17:20:00+07;Scheduled;;
11;DME;LED;321;PG0403;2017-08-23 15:25:00+07;2017-08-23 16:20:00+07;Scheduled;;
12;DME;LED;321;PG0404;2017-08-23 23:05:00+07;2017-08-24 00:00:00+07;Scheduled;;
13;DME;LED;321;PG0405;2017-08-23 13:35:00+07;2017-08-23 14:30:00+07;Scheduled;;
14;DME;LED;321;PG0402;2017-08-06 16:25:00+07;2017-08-06 17:20:00+07;Arrived;2017-08-06 16:28:00+07;2017-08-06 17:23:00+07
